Date,Rate
2024-01-02,"1,289.40"
2024-01-03,"1,299.30"
2024-01-04,"1,308.80"
2024-01-05,"1,310.20"
2024-01-08,"1,313.70"
2024-01-09,"1,314.80"
2024-01-10,"1,312.10"
2024-01-11,"1,320.10"
2024-01-12,"1,316.00"
2024-01-15,"1,314.10"
2024-01-16,"1,319.30"
2024-01-17,"1,329.00"
2024-01-18,"1,343.20"
2024-01-19,"1,342.40"
2024-01-22,"1,336.50"
2024-01-23,"1,334.70"
2024-01-24,"1,336.00"
2024-01-25,"1,339.10"
2024-01-26,"1,335.70"
2024-01-29,"1,336.60"
2024-01-30,"1,336.90"
2024-01-31,"1,330.60"
2024-02-01,"1,333.50"
2024-02-02,"1,332.50"
2024-02-05,"1,325.10"
2024-02-06,"1,334.60"
2024-02-07,"1,329.60"
2024-02-08,"1,325.30"
2024-02-13,"1,327.20"
2024-02-14,"1,328.40"
2024-02-15,"1,336.90"
2024-02-16,"1,333.20"
2024-02-19,"1,333.00"
2024-02-20,"1,333.80"
2024-02-21,"1,337.90"
2024-02-22,"1,335.00"
2024-02-23,"1,331.00"
2024-02-26,"1,329.30"
2024-02-27,"1,331.40"
2024-02-28,"1,331.30"
2024-02-29,"1,334.00"
2024-03-04,"1,334.10"
2024-03-05,"1,330.10"
2024-03-06,"1,333.20"
2024-03-07,"1,335.70"
2024-03-08,"1,329.60"
2024-03-11,"1,323.10"
2024-03-12,"1,314.40"
2024-03-13,"1,311.10"
2024-03-14,"1,312.80"
2024-03-15,"1,316.90"
2024-03-18,"1,328.40"
2024-03-19,"1,333.00"
2024-03-20,"1,338.50"
2024-03-21,"1,338.70"
2024-03-22,"1,326.30"
2024-03-25,"1,336.10"
2024-03-26,"1,340.70"
2024-03-27,"1,338.60"
2024-03-28,"1,345.80"
2024-03-29,"1,346.80"
2024-04-01,"1,347.40"
2024-04-02,"1,347.10"
2024-04-03,"1,353.00"
2024-04-04,"1,349.10"
2024-04-05,"1,346.80"
2024-04-08,"1,351.80"
2024-04-09,"1,353.60"
2024-04-11,"1,354.40"
2024-04-12,"1,363.70"
2024-04-15,"1,371.60"
2024-04-16,"1,383.70"
2024-04-17,"1,395.30"
2024-04-18,"1,386.30"
2024-04-19,"1,375.90"
2024-04-22,"1,385.00"
2024-04-23,"1,380.60"
2024-04-24,"1,377.90"
2024-04-25,"1,370.00"
2024-04-26,"1,376.60"
2024-04-29,"1,375.90"
2024-04-30,"1,378.70"
2024-05-02,"1,378.00"
2024-05-03,"1,378.50"
2024-05-07,"1,365.20"
2024-05-08,"1,357.80"
2024-05-09,"1,364.40"
2024-05-10,"1,367.90"
2024-05-13,"1,367.90"
2024-05-14,"1,370.10"
2024-05-16,"1,369.00"
2024-05-17,"1,349.40"
2024-05-20,"1,355.20"
2024-05-21,"1,356.20"
2024-05-22,"1,364.40"
2024-05-23,"1,363.10"
2024-05-24,"1,364.50"
2024-05-27,"1,370.00"
2024-05-28,"1,365.40"
2024-05-29,"1,359.50"
2024-05-30,"1,364.80"
2024-05-31,"1,376.50"
2024-06-03,"1,381.60"
2024-06-04,"1,377.60"
2024-06-05,"1,373.10"
2024-06-07,"1,371.50"
2024-06-10,"1,366.90"
2024-06-11,"1,377.90"
2024-06-12,"1,377.40"
2024-06-13,"1,377.80"
2024-06-14,"1,371.00"
2024-06-17,"1,377.70"
2024-06-18,"1,380.40"
2024-06-19,"1,380.50"
2024-06-20,"1,380.80"
2024-06-21,"1,383.80"
2024-06-24,"1,389.10"
2024-06-25,"1,389.70"
2024-06-26,"1,386.40"
2024-06-27,"1,390.10"
2024-06-28,"1,389.20"
2024-07-01,"1,382.40"
2024-07-02,"1,380.80"
2024-07-03,"1,387.40"
2024-07-04,"1,389.40"
2024-07-05,"1,381.90"
2024-07-08,"1,379.00"
2024-07-09,"1,379.40"
2024-07-10,"1,383.40"
2024-07-11,"1,385.60"
2024-07-12,"1,380.10"
2024-07-15,"1,376.30"
2024-07-16,"1,381.90"
2024-07-17,"1,386.00"
2024-07-18,"1,381.50"
2024-07-19,"1,379.90"
2024-07-22,"1,386.60"
2024-07-23,"1,388.60"
2024-07-24,"1,385.10"
2024-07-25,"1,385.10"
2024-07-26,"1,385.40"
2024-07-29,"1,385.40"
2024-07-30,"1,382.00"
2024-07-31,"1,384.60"
2024-08-01,"1,380.10"
2024-08-02,"1,365.90"
2024-08-05,"1,372.80"
2024-08-06,"1,360.60"
2024-08-07,"1,372.20"
2024-08-08,"1,376.40"
2024-08-09,"1,377.70"
2024-08-12,"1,369.40"
2024-08-13,"1,367.70"
2024-08-14,"1,370.30"
2024-08-16,"1,361.40"
2024-08-19,"1,360.10"
2024-08-20,"1,337.80"
2024-08-21,"1,332.00"
2024-08-22,"1,332.40"
2024-08-23,"1,335.90"
2024-08-26,"1,340.10"
2024-08-27,"1,323.90"
2024-08-28,"1,330.40"
2024-08-29,"1,334.70"
2024-08-30,"1,335.30"
2024-09-02,"1,334.80"
2024-09-03,"1,338.80"
2024-09-04,"1,341.00"
2024-09-05,"1,342.00"
2024-09-06,"1,335.80"
2024-09-09,"1,330.40"
2024-09-10,"1,339.50"
2024-09-11,"1,344.30"
2024-09-12,"1,340.30"
2024-09-13,"1,339.60"
2024-09-19,"1,331.00"
2024-09-20,"1,331.80"
2024-09-23,"1,329.90"
2024-09-24,"1,335.50"
2024-09-25,"1,334.30"
2024-09-26,"1,328.40"
2024-09-27,"1,329.70"
2024-09-30,"1,319.60"
2024-10-02,"1,306.90"
2024-10-04,"1,320.10"
2024-10-07,"1,333.30"
2024-10-08,"1,346.50"
2024-10-10,"1,347.80"
2024-10-11,"1,349.40"
2024-10-14,"1,348.60"
2024-10-15,"1,354.90"
2024-10-16,"1,360.40"
2024-10-17,"1,363.70"
2024-10-18,"1,366.50"
2024-10-21,"1,371.10"
2024-10-22,"1,370.40"
2024-10-23,"1,380.10"
2024-10-24,"1,382.00"
2024-10-25,"1,380.50"
2024-10-28,"1,384.40"
2024-10-29,"1,387.00"
2024-10-30,"1,383.10"
2024-10-31,"1,383.30"
2024-11-01,"1,379.30"
2024-11-04,"1,377.90"
2024-11-05,"1,371.30"
2024-11-06,"1,377.80"
2024-11-07,"1,391.50"
2024-11-08,"1,399.10"
2024-11-11,"1,385.40"
2024-11-12,"1,395.30"
2024-11-13,"1,401.10"
2024-11-14,"1,407.30"
2024-11-15,"1,406.40"
2024-11-18,"1,402.80"
2024-11-19,"1,392.60"
2024-11-20,"1,392.00"
2024-11-21,"1,391.60"
2024-11-22,"1,398.10"
2024-11-25,"1,400.50"
2024-11-26,"1,398.20"
2024-11-27,"1,401.20"
2024-11-28,"1,396.80"
2024-11-29,"1,394.70"
2024-12-02,"1,395.10"
2024-12-03,"1,402.00"
2024-12-04,"1,403.40"
2024-12-05,"1,413.00"
2024-12-06,"1,414.90"
2024-12-09,"1,419.40"
2024-12-10,"1,433.20"
2024-12-11,"1,428.10"
2024-12-12,"1,431.40"
2024-12-13,"1,431.50"
2024-12-16,"1,432.70"
2024-12-17,"1,434.90"
2024-12-18,"1,436.60"
2024-12-19,"1,436.80"
2024-12-20,"1,449.70"
2024-12-23,"1,450.30"
2024-12-24,"1,449.30"
2024-12-26,"1,453.60"
2024-12-27,"1,462.90"
2024-12-30,"1,474.10"
2024-12-31,"1,470.00"
